No,ENZY_ACC_ID,ENZYME,E3_GN,E3_Alias,E3_PN,SUB_ACC_ID,SUBSTRATE,SUB_GENE,SUB_Alias,SUB_PN,E3_ORGANISM,SUB_ORGANISM,PMID
428,Q9Y4K3,TRAF6_HUMAN,TRAF6,TRAF6~~RNF85,TNF receptor-associated factor 6 ~~E3 ubiquitin-protein ligase TRAF6~~Interleukin-1 signal transducer~~RING finger protein 85~~RING-type E3 ubiquitin transferase TRAF6,P36897,TGFR1_HUMAN,TGFBR1,TGFBR1~~ALK5~~SKR4,TGF-beta receptor type-1 ~~TGFR-1 ~~Activin A receptor type II-like protein kinase of 53kD~~Activin receptor-like kinase 5~~ALK-5~~ALK5~~Serine/threonine-protein kinase receptor R4~~SKR4~~TGF-beta type I receptor~~Transforming growth factor-beta receptor type I~~TGF-beta receptor type I~~TbetaR-I,Homo sapiens (Human),Homo sapiens (Human),25622187
429,Q9UPN9,TRI33_HUMAN,TRIM33,TRIM33~~KIAA1113~~RFG7~~TIF1G,E3 ubiquitin-protein ligase TRIM33 ~~Ectodermin homolog~~RET-fused gene 7 protein~~Protein Rfg7~~RING-type E3 ubiquitin transferase TRIM33~~Transcription intermediary factor 1-gamma~~TIF1-gamma~~Tripartite motif-containing protein 33,P35222,CTNB1_HUMAN,CTNNB1,CTNNB1~~CTNNB~~OK~~SW-cl.35~~PRO2286,Catenin beta-1 ~~Beta-catenin,Homo sapiens (Human),Homo sapiens (Human),25639486
430,Q96ME1,FXL18_HUMAN,FBXL18,FBXL18~~FBL18,F-box/LRR-repeat protein 18 ~~F-box and leucine-rich repeat protein 18,Q9UJT9,FBXL7_HUMAN,FBXL7,FBXL7~~FBL6~~FBL7~~KIAA0840,F-box/LRR-repeat protein 7 ~~F-box and leucine-rich repeat protein 7~~F-box protein FBL6/FBL7,Homo sapiens (Human),Homo sapiens (Human),25654763
431,Q13309,SKP2_HUMAN,SKP2,SKP2~~FBXL1,S-phase kinase-associated protein 2 ~~Cyclin-A/CDK2-associated protein p45~~F-box protein Skp2~~F-box/LRR-repeat protein 1~~p45skp2,P38398,BRCA1_HUMAN,BRCA1,BRCA1~~RNF53,Breast cancer type 1 susceptibility protein ~~RING finger protein 53~~RING-type E3 ubiquitin transferase BRCA1,Homo sapiens (Human),Homo sapiens (Human),25659039
432,P46934,NEDD4_HUMAN,NEDD4,NEDD4~~KIAA0093~~NEDD4-1~~PIG53,E3 ubiquitin-protein ligase NEDD4 ~~Cell proliferation-inducing gene 53 protein~~HECT-type E3 ubiquitin transferase NEDD4~~Neural precursor cell expressed developmentally down-regulated protein 4~~NEDD-4,Q9H4B6,SAV1_HUMAN,SAV1,SAV1~~WW45,Protein salvador homolog 1 ~~45 kDa WW domain protein~~hWW45,Homo sapiens (Human),Homo sapiens (Human),25692647
433,Q9Y4B6,DCAF1_HUMAN,DCAF1,DCAF1~~KIAA0800~~RIP~~VPRBP,DDB1- and CUL4-associated factor 1 ~~HIV-1 Vpr-binding protein~~VprBP~~Serine/threonine-protein kinase VPRBP ~~Vpr-interacting protein,P30153,2AAA_HUMAN,PPP2R1A,PPP2R1A,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform ~~Medium tumor antigen-associated 61 kDa protein~~PP2A subunit A isoform PR65-alpha~~PP2A subunit A isoform R1-alpha,Homo sapiens (Human),Homo sapiens (Human),25720411
434,Q9UK99,FBX3_HUMAN,FBXO3,FBXO3~~FBX3,F-box only protein 3,Q9HCE7,SMUF1_HUMAN,SMURF1,SMURF1~~KIAA1625,E3 ubiquitin-protein ligase SMURF1 ~~hSMURF1 ~~HECT-type E3 ubiquitin transferase SMURF1~~SMAD ubiquitination regulatory factor 1~~SMAD-specific E3 ubiquitin-protein ligase 1,Homo sapiens (Human),Homo sapiens (Human),25721664
435,Q86YT6,MIB1_HUMAN,MIB1,MIB1~~DIP1~~KIAA1323~~ZZANK2,E3 ubiquitin-protein ligase MIB1 ~~DAPK-interacting protein 1~~DIP-1~~Mind bomb homolog 1~~RING-type E3 ubiquitin transferase MIB1~~Zinc finger ZZ type with ankyrin repeat domain protein 2,P78504,JAG1_HUMAN,JAG1,JAG1~~JAGL1,Protein jagged-1 ~~Jagged1~~hJ1~~CD antigen CD339,Homo sapiens (Human),Homo sapiens (Human),25747658
436,Q12899,TRI26_HUMAN,TRIM26,TRIM26~~RNF95~~ZNF173,Tripartite motif-containing protein 26 ~~Acid finger protein~~AFP~~RING finger protein 95~~Zinc finger protein 173,Q14653,IRF3_HUMAN,IRF3,IRF3,Interferon regulatory factor 3 ~~IRF-3,Homo sapiens (Human),Homo sapiens (Human),25763818
437,Q9UNE7,CHIP_HUMAN,STUB1,STUB1~~CHIP~~PP1131,E3 ubiquitin-protein ligase CHIP ~~Antigen NY-CO-7~~CLL-associated antigen KW-8~~Carboxy terminus of Hsp70-interacting protein~~RING-type E3 ubiquitin transferase CHIP~~STIP1 homology and U box-containing protein 1,P56817,BACE1_HUMAN,BACE1,BACE1~~BACE~~KIAA1149,Beta-secretase 1 ~~Aspartyl protease 2~~ASP2~~Asp 2~~Beta-site amyloid precursor protein cleaving enzyme 1~~Beta-site APP cleaving enzyme 1~~Memapsin-2~~Membrane-associated aspartic protease 2,Homo sapiens (Human),Homo sapiens (Human),25773675
438,Q9UJT9,FBXL7_HUMAN,FBXL7,FBXL7~~FBL6~~FBL7~~KIAA0840,F-box/LRR-repeat protein 7 ~~F-box and leucine-rich repeat protein 7~~F-box protein FBL6/FBL7,O15392,BIRC5_HUMAN,BIRC5,BIRC5~~API4~~IAP4,Baculoviral IAP repeat-containing protein 5 ~~Apoptosis inhibitor 4~~Apoptosis inhibitor survivin,Homo sapiens (Human),Homo sapiens (Human),25778398
439,Q5XPI4,RN123_HUMAN,RNF123,RNF123~~KPC1~~FP1477,E3 ubiquitin-protein ligase RNF123 ~~Kip1 ubiquitination-promoting complex protein 1~~RING finger protein 123~~RING-type E3 ubiquitin transferase RNF123,P19838,NFKB1_HUMAN,NFKB1,NFKB1,Nuclear factor NF-kappa-B p105 subunit ~~DNA-binding factor KBF1~~EBP-1~~Nuclear factor of kappa light polypeptide gene enhancer in B-cells 1 ,Homo sapiens (Human),Homo sapiens (Human),25860612
440,P46934,NEDD4_HUMAN,NEDD4,NEDD4~~KIAA0093~~NEDD4-1~~PIG53,E3 ubiquitin-protein ligase NEDD4 ~~Cell proliferation-inducing gene 53 protein~~HECT-type E3 ubiquitin transferase NEDD4~~Neural precursor cell expressed developmentally down-regulated protein 4~~NEDD-4,Q9Y4H2,IRS2_HUMAN,IRS2,IRS2,Insulin receptor substrate 2 ~~IRS-2,Homo sapiens (Human),Homo sapiens (Human),28126338
441,Q969H0,FBXW7_HUMAN,FBXW7,FBXW7~~FBW7~~FBX30~~SEL10,F-box/WD repeat-containing protein 7 ~~Archipelago homolog~~hAgo~~F-box and WD-40 domain-containing protein 7~~F-box protein FBX30~~SEL-10~~hCdc4,Q16204,CCDC6_HUMAN,CCDC6,CCDC6~~D10S170~~TST1,Coiled-coil domain-containing protein 6 ~~Papillary thyroid carcinoma-encoded protein~~Protein H4,Homo sapiens (Human),Homo sapiens (Human),25885523
442,Q8N8N0,RN152_HUMAN,RNF152,RNF152,E3 ubiquitin-protein ligase RNF152 ~~RING finger protein 152~~RING-type E3 ubiquitin transferase RNF152,Q7L523,RRAGA_HUMAN,RRAGA,RRAGA,Ras-related GTP-binding protein A ~~Rag A~~RagA ~~Adenovirus E3 14.7 kDa-interacting protein 1~~FIP-1,Homo sapiens (Human),Homo sapiens (Human),25936802
443,Q96EP0,RNF31_HUMAN,RNF31,RNF31~~ZIBRA,E3 ubiquitin-protein ligase RNF31 ~~HOIL-1-interacting protein~~HOIP~~RING finger protein 31~~RING-type E3 ubiquitin transferase RNF31~~Zinc in-between-RING-finger ubiquitin-associated domain protein,Q13077,TRAF1_HUMAN,TRAF1,TRAF1~~EBI6,TNF receptor-associated factor 1 ~~Epstein-Barr virus-induced protein 6,Homo sapiens (Human),Homo sapiens (Human),25996949
444,Q969V5,MUL1_HUMAN,MUL1,MUL1~~C1orf166~~GIDE~~MAPL~~MULAN~~RNF218,Mitochondrial ubiquitin ligase activator of NFKB 1 ~~E3 SUMO-protein ligase MUL1~~E3 ubiquitin-protein ligase MUL1~~Growth inhibition and death E3 ligase~~Mitochondrial-anchored protein ligase~~MAPL~~Putative NF-kappa-B-activating protein 266~~RING finger protein 218~~RING-type E3 ubiquitin transferase NFKB 1,O75385,ULK1_HUMAN,ULK1,ULK1~~KIAA0722,Serine/threonine-protein kinase ULK1 ~~Autophagy-related protein 1 homolog~~ATG1~~hATG1~~Unc-51-like kinase 1,Homo sapiens (Human),Homo sapiens (Human),26018823
445,Q00987,MDM2_HUMAN,MDM2,MDM2,E3 ubiquitin-protein ligase Mdm2 ~~Double minute 2 protein~~Hdm2~~Oncoprotein Mdm2~~RING-type E3 ubiquitin transferase Mdm2~~p53-binding protein Mdm2,O15350,P73_HUMAN,TP73,TP73~~P73,Tumor protein p73 ~~p53-like transcription factor~~p53-related protein,Homo sapiens (Human),Homo sapiens (Human),26025930
446,Q9UKC9,FBXL2_HUMAN,FBXL2,FBXL2~~FBL2~~FBL3,F-box/LRR-repeat protein 2 ~~F-box and leucine-rich repeat protein 2~~F-box protein FBL2/FBL3,Q96P20,NLRP3_HUMAN,NLRP3,NLRP3~~C1orf7~~CIAS1~~NALP3~~PYPAF1,"NACHT, LRR and PYD domains-containing protein 3 ~~Angiotensin/vasopressin receptor AII/AVP-like~~Caterpiller protein 1.1~~CLR1.1~~Cold-induced autoinflammatory syndrome 1 protein~~Cryopyrin~~PYRIN-containing APAF1-like protein 1",Homo sapiens (Human),Homo sapiens (Human),26037928
447,O94952,FBX21_HUMAN,FBXO21,FBXO21~~FBX21~~KIAA0875,F-box only protein 21,Q9Y6B2,EID1_HUMAN,EID1,EID1~~C15orf3~~CRI1~~RBP21~~PNAS-22~~PTD014,EP300-interacting inhibitor of differentiation 1 ~~21 kDa pRb-associated protein~~CREBBP/EP300 inhibitory protein 1~~E1A-like inhibitor of differentiation 1~~EID-1,Homo sapiens (Human),Homo sapiens (Human),26085330
448,Q96T88,UHRF1_HUMAN,UHRF1,UHRF1~~ICBP90~~NP95~~RNF106,E3 ubiquitin-protein ligase UHRF1 ~~Inverted CCAAT box-binding protein of 90 kDa~~Nuclear protein 95~~Nuclear zinc finger protein Np95~~HuNp95~~hNp95~~RING finger protein 106~~RING-type E3 ubiquitin transferase UHRF1~~Transcription factor ICBP90~~Ubiquitin-like PHD and RING finger domain-containing protein 1~~hUHRF1~~Ubiquitin-like-containing PHD and RING finger domains protein 1,P04637,P53_HUMAN,TP53,TP53~~P53,Cellular tumor antigen p53 ~~Antigen NY-CO-13~~Phosphoprotein p53~~Tumor suppressor p53,Homo sapiens (Human),Homo sapiens (Human),26102039
449,Q9NXK8,FXL12_HUMAN,FBXL12,FBXL12~~FBL12,F-box/LRR-repeat protein 12 ~~F-box and leucine-rich repeat protein 12~~F-box protein FBL12,P30838,AL3A1_HUMAN,ALDH3A1,ALDH3A1~~ALDH3,"Aldehyde dehydrogenase, dimeric NADP-preferring ~~ALDHIII~~Aldehyde dehydrogenase 3~~Aldehyde dehydrogenase family 3 member A1",Homo sapiens (Human),Homo sapiens (Human),26124079
450,Q5XUX0,FBX31_HUMAN,FBXO31,FBXO31~~FBX14~~FBX31~~PP2386,F-box only protein 31,Q00987,MDM2_HUMAN,MDM2,MDM2,E3 ubiquitin-protein ligase Mdm2 ~~Double minute 2 protein~~Hdm2~~Oncoprotein Mdm2~~RING-type E3 ubiquitin transferase Mdm2~~p53-binding protein Mdm2,Homo sapiens (Human),Homo sapiens (Human),26124108
451,Q5U5R9,HECD2_HUMAN,HECTD2,HECTD2,Probable E3 ubiquitin-protein ligase HECTD2 ~~HECT domain-containing protein 2~~HECT-type E3 ubiquitin transferase HECTD2,O75925,PIAS1_HUMAN,PIAS1,PIAS1~~DDXBP1,E3 SUMO-protein ligase PIAS1 ~~DEAD/H box-binding protein 1~~E3 SUMO-protein transferase PIAS1~~Gu-binding protein~~GBP~~Protein inhibitor of activated STAT protein 1~~RNA helicase II-binding protein,Homo sapiens (Human),Homo sapiens (Human),26157031
452,Q6X9E4,FBW12_HUMAN,FBXW12,FBXW12~~FBW12~~FBXO12~~FBXO35,F-box/WD repeat-containing protein 12 ~~F-box and WD-40 domain-containing protein 12~~F-box only protein 35,Q8N6P7,I22R1_HUMAN,IL22RA1,IL22RA1~~IL22R,Interleukin-22 receptor subunit alpha-1 ~~IL-22 receptor subunit alpha-1~~IL-22R-alpha-1~~IL-22RA1~~Cytokine receptor class-II member 9~~Cytokine receptor family 2 member 9~~CRF2-9~~ZcytoR11,Homo sapiens (Human),Homo sapiens (Human),26171402
453,Q7Z6Z7,HUWE1_HUMAN,HUWE1,HUWE1~~KIAA0312~~KIAA1578~~UREB1~~HSPC272,"E3 ubiquitin-protein ligase HUWE1 ~~ARF-binding protein 1~~ARF-BP1~~HECT, UBA and WWE domain-containing protein 1~~HECT-type E3 ubiquitin transferase HUWE1~~Homologous to E6AP carboxyl terminus homologous protein 9~~HectH9~~Large structure of UREB1~~LASU1~~Mcl-1 ubiquitin ligase E3~~Mule~~Upstream regulatory element-binding protein 1~~URE-B1~~URE-binding protein 1",Q13105,ZBT17_HUMAN,ZBTB17,ZBTB17~~MIZ1~~ZNF151~~ZNF60,Zinc finger and BTB domain-containing protein 17 ~~Myc-interacting zinc finger protein 1~~Miz-1~~Zinc finger protein 151~~Zinc finger protein 60,Homo sapiens (Human),Homo sapiens (Human),26212014
454,Q8NHY2,COP1_HUMAN,COP1,COP1~~RFWD2~~RNF200,E3 ubiquitin-protein ligase COP1 ~~Constitutive photomorphogenesis protein 1 homolog~~hCOP1~~RING finger and WD repeat domain protein 2~~RING finger protein 200~~RING-type E3 ubiquitin transferase RFWD2,P46527,CDN1B_HUMAN,CDKN1B,CDKN1B~~KIP1,Cyclin-dependent kinase inhibitor 1B ~~Cyclin-dependent kinase inhibitor p27~~p27Kip1,Homo sapiens (Human),Homo sapiens (Human),26254224
455,O60260,PRKN_HUMAN,PRKN,PRKN~~PARK2,E3 ubiquitin-protein ligase parkin ~~Parkin ~~Parkin RBR E3 ubiquitin-protein ligase~~Parkinson juvenile disease protein 2~~Parkinson disease protein 2,Q8IXI2,MIRO1_HUMAN,RHOT1,RHOT1~~ARHT1,Mitochondrial Rho GTPase 1 ~~MIRO-1~~hMiro-1 ~~Rac-GTP-binding protein-like protein~~Ras homolog gene family member T1,Homo sapiens (Human),Homo sapiens (Human),26254304
456,P46934,NEDD4_HUMAN,NEDD4,NEDD4~~KIAA0093~~NEDD4-1~~PIG53,E3 ubiquitin-protein ligase NEDD4 ~~Cell proliferation-inducing gene 53 protein~~HECT-type E3 ubiquitin transferase NEDD4~~Neural precursor cell expressed developmentally down-regulated protein 4~~NEDD-4,Q01628,IFM3_HUMAN,IFITM3,IFITM3,Interferon-induced transmembrane protein 3 ~~Dispanin subfamily A member 2b~~DSPA2b~~Interferon-inducible protein 1-8U,Homo sapiens (Human),Homo sapiens (Human),26263374
457,Q9UNE7,CHIP_HUMAN,STUB1,STUB1~~CHIP~~PP1131,E3 ubiquitin-protein ligase CHIP ~~Antigen NY-CO-7~~CLL-associated antigen KW-8~~Carboxy terminus of Hsp70-interacting protein~~RING-type E3 ubiquitin transferase CHIP~~STIP1 homology and U box-containing protein 1,P60484,PTEN_HUMAN,PTEN,PTEN~~MMAC1~~TEP1,"Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN ~~  ~~Mutated in multiple advanced cancers 1~~Phosphatase and tensin homolog",Homo sapiens (Human),Homo sapiens (Human),26280536
458,P46934,NEDD4_HUMAN,NEDD4,NEDD4~~KIAA0093~~NEDD4-1~~PIG53,E3 ubiquitin-protein ligase NEDD4 ~~Cell proliferation-inducing gene 53 protein~~HECT-type E3 ubiquitin transferase NEDD4~~Neural precursor cell expressed developmentally down-regulated protein 4~~NEDD-4,P23759,PAX7_HUMAN,PAX7,PAX7~~HUP1,Paired box protein Pax-7 ~~HuP1,Homo sapiens (Human),Homo sapiens (Human),26304770
459,Q9UM11,FZR1_HUMAN,FZR1,FZR1~~CDH1~~FYR~~FZR~~KIAA1242,Fizzy-related protein homolog ~~Fzr~~CDC20-like protein 1~~Cdh1/Hct1 homolog~~hCDH1,P23760,PAX3_HUMAN,PAX3,PAX3~~HUP2,Paired box protein Pax-3 ~~HuP2,Homo sapiens (Human),Homo sapiens (Human),26329581
460,O43791,SPOP_HUMAN,SPOP,SPOP,Speckle-type POZ protein ~~HIB homolog 1~~Roadkill homolog 1,Q12809,KCNH2_HUMAN,KCNH2,KCNH2~~ERG~~ERG1~~HERG,Potassium voltage-gated channel subfamily H member 2 ~~Eag homolog~~Ether-a-go-go-related gene potassium channel 1~~ERG-1~~Eag-related protein 1~~Ether-a-go-go-related protein 1~~H-ERG~~hERG-1~~hERG1~~Voltage-gated potassium channel subunit Kv11.1,Homo sapiens (Human),Homo sapiens (Human),26344095
461,P46934,NEDD4_HUMAN,NEDD4,NEDD4~~KIAA0093~~NEDD4-1~~PIG53,E3 ubiquitin-protein ligase NEDD4 ~~Cell proliferation-inducing gene 53 protein~~HECT-type E3 ubiquitin transferase NEDD4~~Neural precursor cell expressed developmentally down-regulated protein 4~~NEDD-4,Q969T9,WBP2_HUMAN,WBP2,WBP2,WW domain-binding protein 2 ~~WBP-2,Homo sapiens (Human),Homo sapiens (Human),26371805
462,Q9UM11,FZR1_HUMAN,FZR1,FZR1~~CDH1~~FYR~~FZR~~KIAA1242,Fizzy-related protein homolog ~~Fzr~~CDC20-like protein 1~~Cdh1/Hct1 homolog~~hCDH1,P51955,NEK2_HUMAN,NEK2,NEK2~~NEK2A~~NLK1,Serine/threonine-protein kinase Nek2 ~~HSPK 21~~Never in mitosis A-related kinase 2~~NimA-related protein kinase 2~~NimA-like protein kinase 1,Homo sapiens (Human),Homo sapiens (Human),26387737
463,O60260,PRKN_HUMAN,PRKN,PRKN~~PARK2,E3 ubiquitin-protein ligase parkin ~~Parkin ~~Parkin RBR E3 ubiquitin-protein ligase~~Parkinson juvenile disease protein 2~~Parkinson disease protein 2,P14635,CCNB1_HUMAN,CCNB1,CCNB1~~CCNB,G2/mitotic-specific cyclin-B1,Homo sapiens (Human),Homo sapiens (Human),26387737
464,O60260,PRKN_HUMAN,PRKN,PRKN~~PARK2,E3 ubiquitin-protein ligase parkin ~~Parkin ~~Parkin RBR E3 ubiquitin-protein ligase~~Parkinson juvenile disease protein 2~~Parkinson disease protein 2,P51955,NEK2_HUMAN,NEK2,NEK2~~NEK2A~~NLK1,Serine/threonine-protein kinase Nek2 ~~HSPK 21~~Never in mitosis A-related kinase 2~~NimA-related protein kinase 2~~NimA-like protein kinase 1,Homo sapiens (Human),Homo sapiens (Human),26387737
465,Q969V5,MUL1_HUMAN,MUL1,MUL1~~C1orf166~~GIDE~~MAPL~~MULAN~~RNF218,Mitochondrial ubiquitin ligase activator of NFKB 1 ~~E3 SUMO-protein ligase MUL1~~E3 ubiquitin-protein ligase MUL1~~Growth inhibition and death E3 ligase~~Mitochondrial-anchored protein ligase~~MAPL~~Putative NF-kappa-B-activating protein 266~~RING finger protein 218~~RING-type E3 ubiquitin transferase NFKB 1,O15350,P73_HUMAN,TP73,TP73~~P73,Tumor protein p73 ~~p53-like transcription factor~~p53-related protein,Homo sapiens (Human),Homo sapiens (Human),26435500
466,Q8N448,LNX2_HUMAN,LNX2,LNX2~~PDZRN1,Ligand of Numb protein X 2 ~~Numb-binding protein 2~~PDZ domain-containing RING finger protein 1,P49757,NUMB_HUMAN,NUMB,NUMB~~C14orf41,Protein numb homolog ~~h-Numb~~Protein S171,Homo sapiens (Human),Homo sapiens (Human),26451611
467,Q13309,SKP2_HUMAN,SKP2,SKP2~~FBXL1,S-phase kinase-associated protein 2 ~~Cyclin-A/CDK2-associated protein p45~~F-box protein Skp2~~F-box/LRR-repeat protein 1~~p45skp2,P12830,CADH1_HUMAN,CDH1,CDH1~~CDHE~~UVO,Cadherin-1 ~~CAM 120/80~~Epithelial cadherin~~E-cadherin~~Uvomorulin~~CD antigen CD324 ,Homo sapiens (Human),Homo sapiens (Human),26474281
468,Q8TDB6,DTX3L_HUMAN,DTX3L,DTX3L~~BBAP,E3 ubiquitin-protein ligase DTX3L ~~B-lymphoma- and BAL-associated protein~~Protein deltex-3-like~~RING-type E3 ubiquitin transferase DTX3L~~Rhysin-2~~Rhysin2,P06899,H2B1J_HUMAN,H2BC11,H2BC11~~H2BFR~~HIST1H2BJ,Histone H2B type 1-J ~~Histone H2B.1~~Histone H2B.r~~H2B/r,Homo sapiens (Human),Homo sapiens (Human),26479788
469,Q9BVG3,TRI62_HUMAN,TRIM62,TRIM62,E3 ubiquitin-protein ligase TRIM62 ~~RING-type E3 ubiquitin transferase TRIM62~~Tripartite motif-containing protein 62,Q9H257,CARD9_HUMAN,CARD9,CARD9,Caspase recruitment domain-containing protein 9 ~~hCARD9,Homo sapiens (Human),Homo sapiens (Human),26488816
470,Q92844,TANK_HUMAN,TANK,TANK~~ITRAF~~TRAF2,TRAF family member-associated NF-kappa-B activator ~~TRAF-interacting protein~~I-TRAF,O95147,DUS14_HUMAN,DUSP14,DUSP14~~MKP6,Dual specificity protein phosphatase 14 ~~ ~~MKP-1-like protein tyrosine phosphatase~~MKP-L~~Mitogen-activated protein kinase phosphatase 6~~MAP kinase phosphatase 6~~MKP-6,Homo sapiens (Human),Homo sapiens (Human),26521044
471,Q07869,PPARA_HUMAN,PPARA,PPARA~~NR1C1~~PPAR,Peroxisome proliferator-activated receptor alpha ~~PPAR-alpha~~Nuclear receptor subfamily 1 group C member 1,P10415,BCL2_HUMAN,BCL2,BCL2,Apoptosis regulator Bcl-2,Homo sapiens (Human),Homo sapiens (Human),26556865
472,O95628,CNOT4_HUMAN,CNOT4,CNOT4~~NOT4,CCR4-NOT transcription complex subunit 4 ~~CCR4-associated factor 4~~E3 ubiquitin-protein ligase CNOT4~~Potential transcriptional repressor NOT4Hp~~RING-type E3 ubiquitin transferase CNOT4,Q96T37,RBM15_HUMAN,RBM15,RBM15~~OTT~~OTT1,RNA-binding protein 15 ~~One-twenty two protein 1~~RNA-binding motif protein 15,Homo sapiens (Human),Homo sapiens (Human),26575292
473,Q14145,KEAP1_HUMAN,KEAP1,KEAP1~~INRF2~~KIAA0132~~KLHL19,Kelch-like ECH-associated protein 1 ~~Cytosolic inhibitor of Nrf2~~INrf2~~Kelch-like protein 19,Q86YC2,PALB2_HUMAN,PALB2,PALB2~~FANCN,Partner and localizer of BRCA2,Homo sapiens (Human),Homo sapiens (Human),26649820
474,Q13490,BIRC2_HUMAN,BIRC2,BIRC2~~API1~~MIHB~~RNF48,Baculoviral IAP repeat-containing protein 2 ~~Cellular inhibitor of apoptosis 1~~C-IAP1~~IAP homolog B~~Inhibitor of apoptosis protein 2~~hIAP-2~~hIAP2~~RING finger protein 48~~RING-type E3 ubiquitin transferase BIRC2~~TNFR2-TRAF-signaling complex protein 2,P55060,XPO2_HUMAN,CSE1L,CSE1L~~CAS~~XPO2,Exportin-2 ~~Exp2~~Cellular apoptosis susceptibility protein~~Chromosome segregation 1-like protein~~Importin-alpha re-exporter,Homo sapiens (Human),Homo sapiens (Human),26668314
475,Q8NHM5,KDM2B_HUMAN,KDM2B,KDM2B~~CXXC2~~FBL10~~FBXL10~~JHDM1B~~NDY1~~PCCX2,Lysine-specific demethylase 2B ~~CXXC-type zinc finger protein 2~~F-box and leucine-rich repeat protein 10~~F-box protein FBL10~~F-box/LRR-repeat protein 10~~JmjC domain-containing histone demethylation protein 1B~~Jumonji domain-containing EMSY-interactor methyltransferase motif protein~~Protein JEMMA~~Protein-containing CXXC domain 2~~[Histone-H3]-lysine-36 demethylase 1B,P01100,FOS_HUMAN,FOS,FOS~~G0S7,Proto-oncogene c-Fos ~~Cellular oncogene fos~~G0/G1 switch regulatory protein 7,Homo sapiens (Human),Homo sapiens (Human),26725323
476,O60260,PRKN_HUMAN,PRKN,PRKN~~PARK2,E3 ubiquitin-protein ligase parkin ~~Parkin ~~Parkin RBR E3 ubiquitin-protein ligase~~Parkinson juvenile disease protein 2~~Parkinson disease protein 2,Q13501,SQSTM_HUMAN,SQSTM1,SQSTM1~~ORCA~~OSIL,Sequestosome-1 ~~EBI3-associated protein of 60 kDa~~EBIAP~~p60~~Phosphotyrosine-independent ligand for the Lck SH2 domain of 62 kDa~~Ubiquitin-binding protein p62,Homo sapiens (Human),Homo sapiens (Human),26746706
477,O43255,SIAH2_HUMAN,SIAH2,SIAH2,E3 ubiquitin-protein ligase SIAH2 ~~RING-type E3 ubiquitin transferase SIAH2~~Seven in absentia homolog 2~~Siah-2~~hSiah2,O96017,CHK2_HUMAN,CHEK2,CHEK2~~CDS1~~CHK2~~RAD53,Serine/threonine-protein kinase Chk2 ~~CHK2 checkpoint homolog~~Cds1 homolog~~Hucds1~~hCds1~~Checkpoint kinase 2,Homo sapiens (Human),Homo sapiens (Human),26751770
478,Q00987,MDM2_HUMAN,MDM2,MDM2,E3 ubiquitin-protein ligase Mdm2 ~~Double minute 2 protein~~Hdm2~~Oncoprotein Mdm2~~RING-type E3 ubiquitin transferase Mdm2~~p53-binding protein Mdm2,P10276,RARA_HUMAN,RARA,RARA~~NR1B1,Retinoic acid receptor alpha ~~RAR-alpha~~Nuclear receptor subfamily 1 group B member 1,Homo sapiens (Human),Homo sapiens (Human),26776160
479,P41002,CCNF_HUMAN,CCNF,CCNF~~FBX1~~FBXO1,Cyclin-F ~~F-box only protein 1,Q99741,CDC6_HUMAN,CDC6,CDC6~~CDC18L,Cell division control protein 6 homolog ~~CDC6-related protein~~Cdc18-related protein~~HsCdc18~~p62cdc6~~HsCDC6,Homo sapiens (Human),Homo sapiens (Human),26818844
480,Q969Q1,TRI63_HUMAN,TRIM63,TRIM63~~IRF~~MURF1~~RNF28~~SMRZ,E3 ubiquitin-protein ligase TRIM63 ~~Iris RING finger protein~~Muscle-specific RING finger protein 1~~MuRF-1~~MuRF1~~RING finger protein 28~~RING-type E3 ubiquitin transferase TRIM63~~Striated muscle RING zinc finger protein~~Tripartite motif-containing protein 63,P10827,THA_HUMAN,THRA,THRA~~EAR7~~ERBA1~~NR1A1~~THRA1~~THRA2,Thyroid hormone receptor alpha ~~Nuclear receptor subfamily 1 group A member 1~~V-erbA-related protein 7~~EAR-7~~c-erbA-1~~c-erbA-alpha,Homo sapiens (Human),Homo sapiens (Human),26862156
481,Q9H0A0,NAT10_HUMAN,NAT10,NAT10~~ALP~~KIAA1709,RNA cytidine acetyltransferase ~~18S rRNA cytosine acetyltransferase~~N-acetyltransferase 10~~N-acetyltransferase-like protein~~hALP,Q00987,MDM2_HUMAN,MDM2,MDM2,E3 ubiquitin-protein ligase Mdm2 ~~Double minute 2 protein~~Hdm2~~Oncoprotein Mdm2~~RING-type E3 ubiquitin transferase Mdm2~~p53-binding protein Mdm2,Homo sapiens (Human),Homo sapiens (Human),26882543
482,Q13114,TRAF3_HUMAN,TRAF3,TRAF3~~CAP1~~CRAF1,TNF receptor-associated factor 3 ~~CAP-1~~CD40 receptor-associated factor 1~~CRAF1~~CD40-binding protein~~CD40BP~~LMP1-associated protein 1~~LAP1~~RING-type E3 ubiquitin transferase TRAF3,O43318,M3K7_HUMAN,MAP3K7,MAP3K7~~TAK1,Mitogen-activated protein kinase kinase kinase 7 ~~Transforming growth factor-beta-activated kinase 1~~TGF-beta-activated kinase 1,Homo sapiens (Human),Homo sapiens (Human),26882989
